"filename", "language", "Markdown", "CMake", "JSON", "C++", "comment", "blank", "total"
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\languageHandler.mpp", "C++", 0, 0, 0, 25, 12, 8, 45
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\parser.cpp", "C++", 0, 0, 0, 15, 21, 19, 55
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\parser.mpp", "C++", 0, 0, 0, 16, 10, 8, 34
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\parserContext.cpp", "C++", 0, 0, 0, 69, 34, 20, 123
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\parserContext.mpp", "C++", 0, 0, 0, 23, 12, 10, 45
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\renderer.cpp", "C++", 0, 0, 0, 6, 2, 5, 13
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\renderer.mpp", "C++", 0, 0, 0, 9, 6, 8, 23
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\rendererContext.cpp", "C++", 0, 0, 0, 6, 2, 5, 13
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\rendererContext.mpp", "C++", 0, 0, 0, 13, 9, 8, 30
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\utils.cpp", "C++", 0, 0, 0, 18, 13, 14, 45
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\utils.mpp", "C++", 0, 0, 0, 9, 6, 8, 23
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\warnings.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\warnings.mpp", "C++", 0, 0, 0, 18, 5, 11, 34
"c:\Users\blake\Programing\Personal Projects\Docme\docme\generator\warnings.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\gui\CMakeLists.txt", "CMake", 0, 33, 0, 0, 1, 5, 39
"c:\Users\blake\Programing\Personal Projects\Docme\docme\gui\gui.hpp", "C++", 0, 0, 0, 6, 2, 8, 16
"c:\Users\blake\Programing\Personal Projects\Docme\docme\gui\gui.mpp", "C++", 0, 0, 0, 3, 1, 5, 9
"c:\Users\blake\Programing\Personal Projects\Docme\docme\gui\main.cpp", "C++", 0, 0, 0, 4, 6, 4, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\os.hpp", "C++", 0, 0, 0, 30, 15, 11, 56
"c:\Users\blake\Programing\Personal Projects\Docme\docme\plugin\CMakeLists.txt", "CMake", 0, 36, 0, 0, 2, 5, 43
"c:\Users\blake\Programing\Personal Projects\Docme\docme\plugin\api.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\plugin\api.mpp", "C++", 0, 0, 0, 11, 8, 9, 28
"c:\Users\blake\Programing\Personal Projects\Docme\docme\plugin\plugin.hpp", "C++", 0, 0, 0, 6, 4, 8, 18
"c:\Users\blake\Programing\Personal Projects\Docme\docme\plugin\plugin.mpp", "C++", 0, 0, 0, 4, 4, 5, 13
"c:\Users\blake\Programing\Personal Projects\Docme\docme\std.hpp", "C++", 0, 0, 0, 21, 2, 3, 26
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\cli.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\core.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\docme.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\engine.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\generator.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docme\tests\gui.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\Users\blake\Programing\Personal Projects\Docme\docs\CDocStandard.md", "Markdown", 441, 0, 0, 0, 0, 282, 723
"c:\Users\blake\Programing\Personal Projects\Docme\docs\Errors.md", "Markdown", 83, 0, 0, 0, 0, 26, 109
